Date,Adj Close,Close,High,Low,Open,Volume
2019-06-26,163.2015228,168.9900055,171.2400055,168.1499939,168.2799988,22416400
2019-06-27,165.0460968,170.8999939,171.9799957,169.3800049,170.6199951,18349400
2019-06-28,163.645752,169.4499969,170.8899994,167.9600067,170.1999969,19974300
2019-07-01,169.0539398,175.0500031,177.9499969,174.3600006,175.8650055,25846800
2019-07-02,169.4402466,175.4499969,175.5500031,174.25,175.1300049,14155200
2019-07-03,168.6869659,174.6699982,175.8500061,173.8500061,175.6900024,8532600
2019-07-05,167.3639069,173.3000031,173.8200073,172.8200073,173.75,12618600
2019-07-08,162.6800232,168.4499969,170.2799988,168.3500061,170.0899963,16531000
2019-07-09,163.0180206,168.8000031,168.9799957,166.5,167.0850067,15782800
2019-07-10,161.2120819,166.9299927,171.3699951,166.8600006,171.2400055,16675600
2019-07-11,160.8450928,166.5500031,168.423996,165.0,167.5599976,14796400
2019-07-12,163.2787933,169.0700073,170.1999969,167.6499939,168.0,18103600
2019-07-15,167.5570374,173.5,173.75,170.4199982,171.5,22199000
2019-07-16,168.2234039,174.1900024,175.5200043,173.4600067,174.1999969,19039700
2019-07-17,168.8318329,174.8200073,176.2200012,172.4900055,172.75,15031600
2019-07-18,166.881012,172.8000031,174.3999939,172.0599976,173.4100037,15603800
2019-07-19,167.0645142,172.9900055,175.1499939,172.9900055,174.8699951,13647200
2019-07-22,168.039917,174.0,174.2799988,171.4369965,173.5,18490900
2019-07-23,171.9898224,178.0899963,178.6399994,174.8450012,175.3899994,20881500
2019-07-24,172.549942,178.6699982,178.9600067,176.9380035,178.0,14933100
2019-07-25,171.2172089,177.2899933,179.1499939,175.3690033,178.4900055,14049000
2019-07-26,172.617569,178.7400055,179.3999939,176.8800049,178.25,15281000
2019-07-29,170.9564819,177.0200043,179.8800049,175.3500061,178.4299927,15130300
2019-07-30,168.1364899,174.1000061,175.7100067,172.8899994,174.25,14300600
2019-07-31,167.1804047,173.1100006,174.8899994,170.0899963,173.7100067,14628900
2019-08-01,159.9759216,165.6499939,175.7149963,162.1000061,174.5399933,32728200
2019-08-02,155.4852142,161.0,163.8500061,160.3500061,162.5599976,27104700
2019-08-05,148.4062805,153.6699982,157.2299957,151.8500061,155.0299988,28912600
2019-08-06,152.0374756,157.4299927,158.7299957,156.1100006,158.4799957,24996300
2019-08-07,153.7178955,159.1699982,159.4799957,155.3000031,155.7299957,17917400
2019-08-08,156.6634064,162.2200012,162.3000031,159.1199951,161.7100067,19267700
2019-08-09,153.6696014,159.1199951,161.9900055,159.1100006,160.9799957,11894300
2019-08-12,153.8530884,159.3099976,159.3600006,155.5399933,157.5,13566900
2019-08-13,158.4114227,164.0299988,167.3600006,159.5700073,160.6399994,22842900
2019-08-14,156.5088959,162.0599976,163.0,159.2100067,161.3399963,20803700
2019-08-15,161.2507172,166.9700012,171.0,164.3600006,170.1100006,36343500
2019-08-16,168.6193542,174.6000061,177.5500031,168.5700073,170.0,25952500
2019-08-19,172.1732941,178.2799988,178.8000031,175.5899963,177.4299927,16012800
2019-08-20,171.1399689,177.2100067,177.9900055,175.6199951,175.9100037,10338100
2019-08-21,169.237442,175.2400055,178.5,174.8899994,177.2200012,10615700
2019-08-22,166.0215149,171.9100037,174.9799957,170.5,174.1000061,11568900
2019-08-23,158.9039459,164.5399933,171.4900055,163.8309937,169.6900024,20871500
2019-08-26,160.2173615,165.8999939,167.4499969,165.5299988,166.4900055,8640500
2019-08-27,160.5070953,166.1999969,168.1900024,165.1900024,167.1999969,12777600
2019-08-28,161.7432404,167.4799957,168.0,164.1999969,164.6399994,9507400
2019-08-29,166.8906708,172.8099976,173.9600067,170.9499969,171.0,11565400
2019-08-30,169.0346375,175.0299988,175.25,172.6600037,174.3500061,10293400
2019-09-03,166.5043793,172.4100037,174.7200012,172.1499939,173.0,8499300
2019-09-04,168.3586121,174.3300018,176.5500031,173.9900055,176.2599945,7208900
2019-09-05,172.8106995,178.9400024,178.9499969,176.5200043,176.8800049,11154300
2019-09-06,170.6377716,176.6900024,179.2200012,176.2100067,179.0099945,8304000
2019-09-09,171.6904297,177.7799988,177.9900055,175.8600006,177.8800049,6931700
2019-09-10,168.9960022,174.9900055,176.3000031,172.2200012,176.2799988,9835000
2019-09-11,170.0583191,176.0899963,176.6600037,174.1499939,176.0,7039300
2019-09-12,172.1346741,178.2400055,180.5,177.0,177.8899994,12509400
2019-09-13,173.0328217,179.1699982,180.1799927,178.6100006,179.7400055,9479700
2019-09-16,171.0047607,177.0700073,179.1699982,175.3699951,177.75,10725100
2019-09-17,172.8686523,179.0,179.1199951,176.0500031,176.8500061,7481000
2019-09-18,173.8343811,180.0,180.1699982,177.5800018,179.1499939,9233300
2019-09-19,174.2786407,180.4600067,184.1300049,180.4299927,180.8999939,15119800
2019-09-20,176.2584076,182.5099945,183.8200073,178.8399963,182.3099976,24517800
2019-09-23,170.9178467,176.9799957,181.3300018,176.8000031,181.25,14047400
2019-09-24,165.6738434,171.5500031,179.4900055,171.3000031,179.1699982,14324600
2019-09-25,170.6088104,176.6600037,176.9900055,171.7200012,172.3000031,11766400
2019-09-26,169.005661,175.0,178.2299957,174.8300018,177.0,9982400
2019-09-27,160.2946167,165.9799957,176.5,163.1499939,176.0,33287500
2019-09-30,161.5018005,167.2299957,170.1999969,166.4499969,169.8869934,14866800
2019-10-01,159.493042,165.1499939,168.2299957,163.6399994,168.0099945,14155500
2019-10-02,160.0918121,165.7700043,166.8800049,161.8999939,162.8200073,11526500
2019-10-03,163.6747284,169.4799957,170.1799927,165.0,166.6499939,10305000
2019-10-04,164.5052795,170.3399963,170.6999969,167.5599976,169.6000061,8715200
2019-10-07,162.5544891,168.3200073,172.3000031,167.2100067,168.8300018,11993000
2019-10-08,156.3833313,161.9299927,165.2200012,161.6799927,164.3000031,15833100
2019-10-09,159.5316772,165.1900024,166.5800018,163.4199982,165.5,10943100
2019-10-10,160.3815613,166.0700073,168.5700073,164.0899963,165.9600067,11462400
2019-10-11,167.0162201,172.9400024,174.8800049,169.5700073,170.7700043,19247400
2019-10-14,165.2971954,171.1600037,173.3399963,170.7899933,172.8399963,7667600
2019-10-15,169.2857208,175.2899933,176.75,172.6900024,172.9100037,13753000
2019-10-16,171.0530396,177.1199951,177.3500061,174.1199951,175.8000031,10858700
2019-10-17,170.7922974,176.8500061,178.5899963,175.2299957,178.0,8020600
2019-10-18,163.336731,169.1300049,176.2299957,169.0,176.0,14575700
2019-10-21,167.576355,173.5200043,173.9100037,170.8699951,172.6399994,8970800
2019-10-22,164.070694,169.8899994,175.3600006,169.2599945,174.5299988,10867100
2019-10-23,164.0996704,169.9199982,171.0399933,168.1199951,170.4499969,8853700
2019-10-24,166.6395721,172.5500031,172.75,170.2100067,171.2799988,7397700
2019-10-25,168.3392944,174.3099976,175.8099976,170.8800049,171.5599976,9891800
2019-10-28,172.5596008,178.6799927,179.6399994,176.4100037,176.5,11739600
2019-10-29,170.8309174,176.8899994,177.7400055,175.4400024,177.0599976,8026400
